År,Type,Marked,Score,Plassering
2021,Kinn Solsnu ,Vinmonopolet,62.2,9
2021,Tuborg Juleøl,Butikk,23,17
2021,Mack God Jul,Butikk,29.8,14
2021,Hansa Juleøl,Butikk,14,18
2021,CB Juleøl,Butikk,26.4,15
2021,Nøgne Ø Ekstra Jul,Vinmonopolet,66.6,8
2021,Lindesnes Rock`n Roll,Butikk,79,6
2021,Hansa Julebrygg,Butikk,13.4,19
2021,Amber Christmas ,Hjemme,51.2,12
2021,Hansa Juleøl,Vinmonopolet,79.4,5
2021,CB Juleøl,Vinmonopolet,62.2,9
2021,Sagittal ImperIal Brown Ale,Vinmonopolet,60.2,11
2021,Bygland Bryggeri Jolebassen Joleøl,Butikk,23.2,16
2021,Ringnes Julebokk,Vinmonopolet,91.8,2
2021,Mack Tradisjonell Julebokk,Vinmonopolet,93.2,1
2021,Kinn Julefred,Vinmonopolet,84.4,4
2021,Nøgne Ø God Jul,Vinmonopolet,89,3
2021,Haandbryggeriet Nissemor,Vinmonopolet,75.2,7
2021,Bygland Bryggeri Rudkallen Joleøl,Vinmonopolet,42.2,13
