År,Type,Marked,Score,Plassering
2019,Ringnes Julebokk,Vinmonopolet,34.33,11
2019,Qvart Ølkompani Julekvelden På Kjerringa,Vinmonopolet,35,9
2019,St. Halvards reservejul ,Hjemme,29,12
2019,Haandbryggeriet Nissemor Juleøl,Vinmonopolet,63,3
2019,Kjerlingland Brygghus St.Niklas Juleøl,Vinmonopolet,50,6
2019,1839 Juleøl,Butikk,35,9
2019,Nøgne Ø Rød Jul Imperial Red Ale,Vinmonopolet,53,5
2019,CB Juleøl,Vinmonopolet,50,6
2019,Tuborg Juleøl 2018 ,Butikk,22.33,13
2019,Bygland Bryggeri Gofa Røykstaut,Vinmonopolet,62.66,4
2019,Hansa Juleale,Vinmonopolet,93,1
2019,Nøgne Ø God Jul Christmas Ale,Vinmonopolet,93,1
2019,Hunsfos Julewit,Vinmonopolet,18.66,14
2019,Qvart Ølkompani Rudolfs Røde,Vinmonopolet,38.66,8
2020,Hansa Julebrygg,Butikk,24.17,16
2020,Aass Vellagret Juleøl,Vinmonopolet,71.83,4
2020,Ringnes Julebokk,Vinmonopolet,56.17,8
2020,CB Juleøl_pol,Vinmonopolet,35.33,12
2020,St.Niklas Juleøl,Vinmonopolet,27.17,14
2020,Lindesnes Rock`n`Roll Juleøl,Butikk,37.67,11
2020,Nøgne Ø Julequad 2020,Vinmonopolet,31.33,12
2020,Nøgne Ø Hvit Jul,Butikk,14.83,17
2020,Mack God Jul 2020,Vinmonopolet,62.67,6
2020,CB Juleøl_butikk,Butikk,62.17,7
2020,7 Fjell Lys Juleøl,Butikk,25.33,15
2020,De Tvende Winterwald Julebock,Vinmonopolet,81.17,3
2020,Kinn Solsnu,Vinmonopolet,46.17,9
2020,Haandbryggeriet Nissemor,Vinmonopolet,86,1
2020,Hunsfos Juleøl,Butikk,66.5,5
2020,Hunsfos Direktørens Jul,Vinmonopolet,84.33,2
2020,Hansa Juleøl,Vinmonopolet,46.67,9
2021,Kinn Solsnu ,Vinmonopolet,62.2,9
2021,Tuborg Juleøl,Butikk,23,17
2021,Mack God Jul,Butikk,29.8,14
2021,Hansa Juleøl_butikk,Butikk,14,18
2021,CB Juleøl_butikk,Butikk,26.4,15
2021,Nøgne Ø Ekstra Jul,Vinmonopolet,66.6,8
2021,Lindesnes Rock`n Roll,Butikk,79,6
2021,Hansa Julebrygg,Butikk,13.4,19
2021,Amber Christmas ,Hjemme,51.2,12
2021,Hansa Juleøl_pol,Vinmonopolet,79.4,5
2021,CB Juleøl_pol,Vinmonopolet,62.2,9
2021,Sagittal ImperIal Brown Ale,Vinmonopolet,60.2,11
2021,Bygland Bryggeri Jolebassen Joleøl,Butikk,23.2,16
2021,Ringnes Julebokk,Vinmonopolet,91.8,2
2021,Mack Tradisjonell Julebokk,Vinmonopolet,93.2,1
2021,Kinn Julefred,Vinmonopolet,84.4,4
2021,Nøgne Ø God Jul,Vinmonopolet,89,3
2021,Haandbryggeriet Nissemor,Vinmonopolet,75.2,7
2021,Bygland Bryggeri Rudkallen Joleøl,Vinmonopolet,42.2,13
