År,Type,Marked,Score,Plassering
2019,Ringnes Julebokk,Vinmonopolet,34.33,11
2019,Qvart Ølkompani Julekvelden På Kjerringa,Vinmonopolet,35,9
2019,St. Halvards reservejul ,Hjemme,29,12
2019,Haandbryggeriet Nissemor Juleøl,Vinmonopolet,63,3
2019,Kjerlingland Brygghus St.Niklas Juleøl,Vinmonopolet,50,6
2019,1839 Juleøl,Butikk,35,9
2019,Nøgne Ø Rød Jul Imperial Red Ale,Vinmonopolet,53,5
2019,CB Juleøl,Vinmonopolet,50,6
2019,Tuborg Juleøl 2018 ,Butikk,22.33,13
2019,Bygland Bryggeri Gofa Røykstaut,Vinmonopolet,62.66,4
2019,Hansa Juleale,Vinmonopolet,93,1
2019,Nøgne Ø God Jul Christmas Ale,Vinmonopolet,93,1
2019,Hunsfos Julewit,Vinmonopolet,18.66,14
2019,Qvart Ølkompani Rudolfs Røde,Vinmonopolet,38.66,8
